key,value,timestamp,topic,partition,offset
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.1, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:01.455770Z"", ""timestamp_ms"": 1733937301455}",1733937301495,trades,0,91940
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.00693069, ""timestamp"": ""2024-12-11T17:15:01.527002Z"", ""timestamp_ms"": 1733937301527}",1733937301591,trades,0,91941
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.01, ""volume"": 0.01352091, ""timestamp"": ""2024-12-11T17:15:01.802905Z"", ""timestamp_ms"": 1733937301802}",1733937301804,trades,0,91942
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3811.46, ""volume"": 0.02623666, ""timestamp"": ""2024-12-11T17:15:02.685052Z"", ""timestamp_ms"": 1733937302685}",1733937302669,trades,0,91943
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3629.0, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:02.686163Z"", ""timestamp_ms"": 1733937302686}",1733937302673,trades,0,91944
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.9, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:02.686163Z"", ""timestamp_ms"": 1733937302686}",1733937302674,trades,0,91945
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.8, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:02.686163Z"", ""timestamp_ms"": 1733937302686}",1733937302674,trades,0,91946
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.7, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:02.686163Z"", ""timestamp_ms"": 1733937302686}",1733937302674,trades,0,91947
b'ETH/EUR',"{""pair"": ""ETH/EUR"", ""price"": 3628.6, ""volume"": 0.00201, ""timestamp"": ""2024-12-11T17:15:02.686163Z"", ""timestamp_ms"": 1733937302686}",1733937302674,trades,0,91948
b'ETH/USD',"{""pair"": ""ETH/USD"", ""price"": 3810.01, ""volume"": 0.02152703, ""timestamp"": ""2024-12-11T17:15:02.988005Z"", ""timestamp_ms"": 1733937302988}",1733937302993,trades,0,91949
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100983.9, ""volume"": 0.00665698, ""timestamp"": ""2024-12-11T17:15:03.342946Z"", ""timestamp_ms"": 1733937303342}",1733937303332,trades,0,91950
b'BTC/USD',"{""pair"": ""BTC/USD"", ""price"": 100984.0, ""volume"": 0.0058278, ""timestamp"": ""2024-12-11T17:15:03.366661Z"", ""timestamp_ms"": 1733937303366}",1733937303356,trades,0,91951
